id видео;Название видео;Публикация видео;Просмотров;Лайков;Дизлайков;Положительных комментариев (всего);Негативных комментариев (всего);Комментарий
rSyuX3Ljdfc;Как менялось отношение к Трампу на телеканалах и у россиян;05.08.2017 10:00:04;5483;242;21;1;2;Дебилы прозрели. Жаль что дебилами от этого быть не перестанут.
Ayfh6HOmauc;Трамп поздравил Путина, несмотря на рекомендации советников - Россия 24;21.03.2018 22:15:03;19326;230;39;0;3;О как! Оказывается Россия коммунистическая страна. Я наверно что то пропустил. Грудинин вроде не победил.
Ayfh6HOmauc;Трамп поздравил Путина, несмотря на рекомендации советников - Россия 24;21.03.2018 22:15:03;19326;230;39;0;3;Всё правильно америкосы говорят...Путин диктатор
Ayfh6HOmauc;Трамп поздравил Путина, несмотря на рекомендации советников - Россия 24;21.03.2018 22:15:03;19326;230;39;0;3;Яхши табриклаш керак!!!
Ayfh6HOmauc;Трамп поздравил Путина, несмотря на рекомендации советников - Россия 24;21.03.2018 22:15:03;19326;230;39;0;3;Блин ! Какие же дорогие эти праститутки в США ! Легче заказать её чем платить !
Ayfh6HOmauc;Трамп поздравил Путина, несмотря на рекомендации советников - Россия 24;21.03.2018 22:15:03;19326;230;39;0;3;Порноактрисы рулят в американской политики. Дожились. Ну трахнул ее Трамп и что из этого? Молодец, мужик, еще может.
Ayfh6HOmauc;Трамп поздравил Путина, несмотря на рекомендации советников - Россия 24;21.03.2018 22:15:03;19326;230;39;0;3;Еббанутая кацапня снова на Трампа дрочит
Ayfh6HOmauc;Трамп поздравил Путина, несмотря на рекомендации советников - Россия 24;21.03.2018 22:15:03;19326;230;39;0;3;Самые пидоры это в Америке
Ayfh6HOmauc;Трамп поздравил Путина, несмотря на рекомендации советников - Россия 24;21.03.2018 22:15:03;19326;230;39;0;3;Маккеин получил в репу за лживые сказки.
Ayfh6HOmauc;Трамп поздравил Путина, несмотря на рекомендации советников - Россия 24;21.03.2018 22:15:03;19326;230;39;0;3;Короче говоря своё мнение должно быть.
Ayfh6HOmauc;Трамп поздравил Путина, несмотря на рекомендации советников - Россия 24;21.03.2018 22:15:03;19326;230;39;0;3;Интересно, а в Америке думали что Ксюшка выиграет чтоли?
Ayfh6HOmauc;Трамп поздравил Путина, несмотря на рекомендации советников - Россия 24;21.03.2018 22:15:03;19326;230;39;0;3;Обед молчания,Платит проституткам.ТРАМПАМПАМ
Ayfh6HOmauc;Трамп поздравил Путина, несмотря на рекомендации советников - Россия 24;21.03.2018 22:15:03;19326;230;39;0;3;Если бы Трамп с джоржем майклом переспал или с пидерастом каким ! Всё было бы ОК ! А с бабой , это у них извращение ! Во черти а !
Ayfh6HOmauc;Трамп поздравил Путина, несмотря на рекомендации советников - Россия 24;21.03.2018 22:15:03;19326;230;39;0;3;Трамп и не хотел, ему деваться не куда
Ayfh6HOmauc;Трамп поздравил Путина, несмотря на рекомендации советников - Россия 24;21.03.2018 22:15:03;19326;230;39;0;3;Актриса порно😂😂 знал что ты всегда правильно думаешь мой друг Трамп
Ayfh6HOmauc;Трамп поздравил Путина, несмотря на рекомендации советников - Россия 24;21.03.2018 22:15:03;19326;230;39;0;3;Это Наша Стана и Наш Путин🤟🤟🤟🤟🤟🤟🤟🤟✊✊✊✊ Пусть Запад Соснёт у Нас
Ayfh6HOmauc;Трамп поздравил Путина, несмотря на рекомендации советников - Россия 24;21.03.2018 22:15:03;19326;230;39;0;3;Они че там Совсем Охренели- бутафорские выборы?????? ебанулись америкосы совсем!!!!!!!!!!!!!!! Путина Любит и Гордится Вся Страна!!!!!!!!!
Ayfh6HOmauc;Трамп поздравил Путина, несмотря на рекомендации советников - Россия 24;21.03.2018 22:15:03;19326;230;39;0;3;Почему столько внимания?
Ayfh6HOmauc;Трамп поздравил Путина, несмотря на рекомендации советников - Россия 24;21.03.2018 22:15:03;19326;230;39;0;3;Коммунистической стране... дебилы мля
